vendor_name,vendor_id,profile,description,products
Lenovo,lenovo,Desktop/Server,Enterprise compute and devices,"ThinkSystem, ThinkAgile, ThinkPad"
Fujitsu,fujitsu,Server/Infrastructure,Enterprise infrastructure,"PRIMERGY, ETERNUS, RunMyProcess"
NetApp,netapp,Storage/Data,Storage and data management,"ONTAP, AFF, Cloud Volumes"
Pure Storage,pure,Storage,Enterprise storage,"FlashArray, FlashBlade, Evergreen"
Arista Networks,arista,Network,Cloud networking,"EOS, CloudVision, 7000 Series"
Juniper Networks,juniper,Network,Enterprise networking,"Mist AI, MX Series, SRX Series"
VMware (Broadcom),vmware,Cloud/Virtualization,"Virtualization, cloud infrastructure","vSphere, NSX, Tanzu, VMware Cloud Foundation"
Nutanix,nutanix,Cloud/Infrastructure,Hyperconverged infrastructure,"Nutanix Cloud Platform, AHV, Prism"
Hitachi Vantara,hitachi,Storage/Data,Storage and data systems,"Virtual Storage Platform, Pentaho"
Supermicro,supermicro,Server/AI,AI infrastructure and servers,"SuperBlade, Hyper, GPU Servers"
Palo Alto Networks,paloalto,CyberSecurity,Network and cloud security,"Prisma Cloud, Cortex, Strata"
CrowdStrike,crowdstrike,CyberSecurity,Endpoint protection,Falcon Platform
Fortinet,fortinet,CyberSecurity/Network,Network security,"FortiGate, FortiAnalyzer, FortiManager"
Zscaler,zscaler,CyberSecurity,Zero trust access,"ZIA, ZPA, ZDX"
Check Point,check-point,CyberSecurity,Enterprise firewall/security,"Quantum, Harmony, CloudGuard"
Okta,okta,CyberSecurity/Identity,Identity and access management,"Workforce Identity Cloud, Customer Identity Cloud"
CyberArk,cyberark,CyberSecurity/Identity,Privileged access management,"Privileged Access Manager, Identity Security Platform"
SentinelOne,sentinelone,CyberSecurity,Endpoint security,Singularity Platform
Trend Micro,trend-micro,CyberSecurity,Enterprise cybersecurity,"Vision One, Apex One, Deep Security"
Proofpoint,proofpoint,CyberSecurity,Email security,"Proofpoint Core, TAP, CASB"
Splunk (Cisco),splunk,Observability/CyberSecurity,SIEM and observability,"Splunk Enterprise, Splunk Cloud, Observability Cloud"
Rapid7,rapid7,CyberSecurity,Vulnerability management,"InsightVM, InsightIDR"
Tenable,tenable,CyberSecurity,Exposure management,"Nessus, Tenable.io"
Wiz,wiz,CyberSecurity/Cloud,Cloud security posture,Wiz Cloud Security Platform
Darktrace,darktrace,CyberSecurity/AI,AI-driven threat detection,"Enterprise Immune System, Cyber AI Analyst"
Databricks,databricks,Data/AI,"Lakehouse, AI/ML","Databricks Lakehouse, Mosaic AI, Delta Lake"
Snowflake,snowflake,Data/Cloud,Cloud data platform,Snowflake Data Cloud
Palantir,palantir,AI/Data,Operational intelligence and AI,"Foundry, Gotham, Apollo, AIP"
SAS,sas,Analytics/AI,Enterprise analytics,"SAS Viya, SAS Analytics"
Informatica,informatica,Data/Integration,Data integration,"Intelligent Data Management Cloud, PowerCenter"
Teradata,teradata,Data/Analytics,Enterprise analytics,"Vantage, ClearScape Analytics"
Cloudera,cloudera,Data/Cloud,Big data platforms,Cloudera Data Platform
Dataiku,dataiku,AI/Analytics,Enterprise AI,Dataiku DSS
C3 AI,c3-ai,AI,Enterprise AI applications,"C3 AI Platform, C3 Generative AI"
MongoDB,mongodb,Database,NoSQL enterprise database,"MongoDB Atlas, Enterprise Advanced"
Elastic,elastic,Search/Observability,Search and observability,"Elasticsearch, Kibana, Elastic Observability"
Confluent,confluent,Data/Streaming,Streaming data platforms,"Confluent Cloud, Kafka Platform"
Tableau (Salesforce),tableau,Analytics/BI,Business intelligence,"Tableau Cloud, Tableau Server"
Power BI (Microsoft),powerbi,Analytics/BI,Analytics and visualization,"Power BI, Fabric"
Accenture,accenture,Consulting/Integration,Global digital transformation,"Accenture Song, myNav, Cloud First"
Deloitte,deloitte,Consulting,Consulting and enterprise technology,"Deloitte Consulting Services, Operate Services"
Tata Consultancy Services (TCS),tata,Consulting/Outsourcing,Global IT services,"TCS BaNCS, ignio"
Infosys,infosys,Consulting/Cloud,Enterprise modernization,"Infosys Cobalt, Finacle"
Wipro,wipro,Consulting/Outsourcing,IT outsourcing,"HOLMES AI, FullStride Cloud"
Cognizant,cognizant,Consulting/DigitalEngineering,Digital engineering,"Cognizant Neuro, Softvision"
Capgemini,capgemini,Consulting,Transformation consulting,"Capgemini Invent, Cloud Infrastructure Services"
HCLTech,hcltech,Consulting/Infrastructure,Infrastructure and engineering,"HCLSoftware, DRYiCE"
NTT DATA,ntt-data,Carrier/ManagedServices,Managed services,"Smart Solutions, Managed Cloud"
DXC Technology,dxc,Outsourcing/Infrastructure,Enterprise IT operations,"DXC Platform X, Consulting Services"
CGI,cgi,Government/Consulting,Government and enterprise IT,"CGI Advantage, CGI OpenGrid"
LTIMindtree,ltimindtree,Consulting,Digital transformation,"Canvas.ai, Fosfor"
AT&T,att,Carrier/Network,Enterprise networking,"AT&T Business Fiber, SD-WAN"
Verizon Business,verizon,Carrier/Network,Managed connectivity,"Verizon Business Complete, Network as a Service"
BT Group,bt-group,Carrier/Network,Global enterprise telecom,"BT Global Services, Secure Connect"
Orange Business,orange,Carrier/Network,Enterprise network services,"Flexible SD-WAN, Cloud Avenue"
Vodafone Business,vodafone,Carrier/Network/IoT,Managed telecom,"Vodafone SD-WAN, IoT Platform"
NTT Communications,ntt,Carrier/Cloud/Network,Global connectivity,"Arcstar, Enterprise Cloud"
Lumen Technologies,lumen,Carrier/Network/Edge,Enterprise networking,"Lumen Edge, Adaptive Networking"
Telstra Enterprise,telstra-enterprise,Carrier/Network,APAC enterprise telecom,"Telstra Programmable Network, SD-WAN"
Singtel,singtel,Carrier/Network/CyberSecurity,Regional enterprise services,"Paragon, Managed Security"
T-Mobile Business,t-mobile,Carrier/Mobile,Enterprise wireless and mobility,"T-Mobile for Business, Private 5G"
Deutsche Telekom,deutsche-telekom,Carrier/Network,European enterprise telecom,"T-Systems, SD-WAN Services"
Telefónica Tech,telefonica,Carrier/CyberSecurity/Cloud,Enterprise digital transformation,"Telefónica Cloud, Managed Security"
Comcast Business,comcast,Carrier/Network,Enterprise connectivity services,"Ethernet Network Services, SD-WAN"
Airtel Business,airtel,Carrier/Cloud/Network,Enterprise telecom and cloud,"Airtel IQ, Nxtra Data Centers"
Reliance Jio Business,reliance,Carrier/Cloud,Enterprise mobility and cloud,"JioCloud, Managed Connectivity"
Zoom,zoom,Collaboration,Enterprise communications,"Zoom Workplace, Zoom Phone, Zoom Contact Center"
Notion,notion,KnowledgeManagement/Productivity,Knowledge management,"Notion AI, Notion Workspace"
GitHub (Microsoft),github,Tooling/DevOps/AI,Developer platform,"GitHub Enterprise, Copilot, Actions"
GitLab,gitlab,Tooling/DevSecOps,DevSecOps,GitLab DevSecOps Platform
HashiCorp,hashicorp,Tooling/Infrastructure,Infrastructure automation,"Terraform, Vault, Consul"
Datadog,datadog,Observability,Observability,"Datadog Cloud Monitoring, Security Monitoring"
Dynatrace,dynatrace,Observability,Application monitoring,"Dynatrace Platform, Grail"
Snyk,snyk,Tooling/CyberSecurity,Developer security,Snyk Platform
Red Hat (IBM),red-hat,OS/Cloud/OpenSource,Open-source enterprise platforms,"Red Hat Enterprise Linux, OpenShift, Ansible"
Docker,docker,Tooling/Containers,Container tooling,"Docker Desktop, Docker Hub"
OpenAI,openai,AI,Enterprise AI platforms,"ChatGPT Enterprise, OpenAI API"
Anthropic,anthropic,AI,Enterprise AI assistants,"Claude Enterprise, Claude API"
Cohere,cohere,AI,Enterprise LLMs,"Command Models, Embed Models"
Mistral AI,mistral-ai,AI,Open enterprise AI,"Mistral Large, Le Chat"
Scale AI,scale-ai,AI/Data,AI infrastructure and data,"Scale Data Engine, Donovan"
Glean,glean,AI/Search,Enterprise AI search,Glean Work AI
Moveworks,moveworks,AI/Automation,AI employee support,Moveworks Copilot
Writer,writer,AI/Content,Enterprise generative AI,"Writer Platform, Palmyra Models"
