vendor_name,product_series,product_group,product_type,model_name,description,lifecycle,vendor_id,model_id,product_id
Dell,PowerEdge MX,Server,Chasis Compute,PowerEdge MX7000,Modular infrastructure chassis,Active,dell,poweredge-mx7000,dell-poweredge-mx7000
Dell,PowerSwitch,Server,Chasis Compute,PowerSwitch S5248F-ON,Data center top-of-rack switch,Active,dell,powerswitch-s5248f-on,dell-powerswitch-s5248f-on
Dell,PowerSwitch Z-Series,Server,Chasis Compute,PowerSwitch Z9664F-ON,Spine/core data center switch,Active,dell,powerswitch-z9664f-on,dell-powerswitch-z9664f-on
Dell,Unity XT,Server,Chasis Compute,Unity XT 480,Midrange enterprise storage array,Active,dell,unity-xt-480,dell-unity-xt-480
Dell,VxRail,Server,Chasis Compute,VxRail E660F,Hyperconverged infrastructure appliance,Active,dell,vxrail-e660f,dell-vxrail-e660f
F5,BIG-IP iSeries,Network,Load Balancer,BIG-IP i5800,Enterprise application delivery controller,Active,f5,big-ip-i5800,f5-big-ip-i5800
F5,BIG-IP rSeries,Network,Load Balancer,BIG-IP r10900,Modern ADC and security platform,Active,f5,big-ip-r10900,f5-big-ip-r10900
F5,VELOS,Network,Load Balancer,VELOS CX1610,High-performance chassis platform,Active,f5,velos-cx1610,f5-velos-cx1610
F5,BIG-IP VE,Network,Load Balancer,BIG-IP Virtual Edition,Virtual load balancer appliance,Active,f5,big-ip-virtual-edition,f5-big-ip-virtual-edition
Fortinet,FortiGate,Network,Firewall,FortiGate 100F,Enterprise next-generation firewall,Active,fortinet,fortigate-100f,fortinet-fortigate-100f
Fortinet,FortiGate,Network,Firewall,FortiGate 400F,Mid-range data center firewall,Active,fortinet,fortigate-400f,fortinet-fortigate-400f
Fortinet,FortiGate,Network,Firewall,FortiGate 1800F,High-performance hyperscale firewall,Active,fortinet,fortigate-1800f,fortinet-fortigate-1800f
Fortinet,FortiAnalyzer,Network,Security,FortiAnalyzer 400G,Security analytics and logging appliance,Active,fortinet,fortianalyzer-400g,fortinet-fortianalyzer-400g
Fortinet,FortiManager,Network,Security,FortiManager 2000E,Centralized firewall management,Active,fortinet,fortimanager-2000e,fortinet-fortimanager-2000e
HPE,ProLiant,Server,Chasis Compute,ProLiant DL380 Gen11,Enterprise rack server,Active,hp,proliant-dl380-gen11,hp-proliant-dl380-gen11
HPE,ProLiant,Server,Chasis Compute,ProLiant DL360 Gen11,Dense compute rack server,Active,hp,proliant-dl360-gen11,hp-proliant-dl360-gen11
HPE,Synergy,Server,Chasis Compute,Synergy 480 Gen11,Composable infrastructure compute module,Active,hp,synergy-480-gen11,hp-synergy-480-gen11
HPE,Apollo,Server,Chasis Compute,Apollo 6500 Gen10 Plus,AI and HPC optimized server,Active,hp,apollo-6500-gen10-plus,hp-apollo-6500-gen10-plus
HPE,Aruba CX,Server,Chasis Compute,Aruba 6300M,Enterprise access switch,Active,hp,aruba-6300m,hp-aruba-6300m
HPE,Aruba CX,Server,Chasis Compute,Aruba 8325,Data center switch,Active,hp,aruba-8325,hp-aruba-8325
Juniper,MX Series,Network,Router,MX480,Carrier and enterprise edge router,Active,juniper,mx480,juniper-mx480
Juniper,MX Series,Network,Router,MX960,High-capacity core router,Active,juniper,mx960,juniper-mx960
Juniper,EX Series,Network,Switch,EX4300,Enterprise access switch,Active,juniper,ex4300,juniper-ex4300
Juniper,EX Series,Network,Switch,EX4650,High-performance data center switch,Active,juniper,ex4650,juniper-ex4650
Juniper,QFX Series,Network,Switch,QFX5120,Spine/leaf data center switch,Active,juniper,qfx5120,juniper-qfx5120
Juniper,SRX Series,Network,Router,SRX345,Branch firewall and router,Active,juniper,srx345,juniper-srx345
Juniper,SRX Series,Network,Router,SRX1500,Enterprise security gateway,Active,juniper,srx1500,juniper-srx1500
Juniper,PTX Series,Network,Router,PTX10003,Packet transport router,Active,juniper,ptx10003,juniper-ptx10003
Palo Alto Networks,PA-Series,Network,Firewall,PA-3220,Enterprise next-generation firewall,Active,paloalto,pa-3220,paloalto-pa-3220
Palo Alto Networks,PA-Series,Network,Firewall,PA-5220,High-throughput security appliance,Active,paloalto,pa-5220,paloalto-pa-5220
Palo Alto Networks,PA-Series,Network,Firewall,PA-7080,Chassis-based data center firewall,Active,paloalto,pa-7080,paloalto-pa-7080
Palo Alto Networks,VM-Series,Network,Firewall,VM-Series VM-300,Virtualized firewall appliance,Active,paloalto,vm-series-vm-300,paloalto-vm-series-vm-300
Palo Alto Networks,CN-Series,Network,Firewall,CN-Series,Kubernetes-native firewall,Active,paloalto,cn-series,paloalto-cn-series
Riverbed,SteelHead,Network,Load Balancer,SteelHead CX 570,WAN optimization appliance,Mature,riverbed,steelhead-cx-570,riverbed-steelhead-cx-570
Riverbed,SteelFusion,Network,Load Balancer,SteelFusion SF7600,Edge infrastructure platform,Mature,riverbed,steelfusion-sf7600,riverbed-steelfusion-sf7600
VMware,vSphere,Server,Virtual Compute,ESXi 8.0,Enterprise hypervisor platform,Active,vmware,esxi-8-0,vmware-esxi-8-0
VMware,vCenter,Server,Virtual Compute,vCenter Server 8,Virtualization management platform,Active,vmware,vcenter-server-8,vmware-vcenter-server-8
VMware,NSX,Server,Virtual Compute,NSX-T Data Center,Software-defined networking and security,Active,vmware,nsx-t-data-center,vmware-nsx-t-data-center
VMware,VCF,Server,Virtual Compute,VMware Cloud Foundation 5,Integrated hybrid cloud platform,Active,vmware,vmware-cloud-foundation-5,vmware-vmware-cloud-foundation-5
VMware,Tanzu,Server,Virtual Compute,Tanzu Kubernetes Grid,Enterprise Kubernetes platform,Active,vmware,tanzu-kubernetes-grid,vmware-tanzu-kubernetes-grid
VMware,HCX,Server,Virtual Compute,HCX Enterprise,Hybrid cloud migration platform,Active,vmware,hcx-enterprise,vmware-hcx-enterprise
VMware,Avi Networks,Server,Virtual Compute,Avi Load Balancer,Software-defined load balancer,Active,vmware,avi-load-balancer,vmware-avi-load-balancer
